a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.002,19.8,271,652.212,12048.38081,1731.489595,13127.6584
0.002,19.9,279,674.61,12590.17282,1693.961419,13609.52424
0.003,2,1823,444.6,11600.1311,2316.869489,13472.40059
0.003,2.1,1749,447.93,11741.62254,2285.04718,13578.73972
0.003,2.2,1702,456.588,11985.69762,2320.221083,13849.3307
0.003,2.3,1638,459.264,12106.82783,2293.507588,13941.07142
0.003,2.4,1570,459.36,12089.68555,2313.063218,13943.38877
0.003,2.5,1524,464.4,12220.53546,2351.899991,14108.03545
0.003,2.6,1498,474.552,12412.7544,2462.430509,14400.63291
0.003,2.7,1435,472.23,12404.72236,2395.013607,14327.50596
0.003,2.8,1360,464.352,12322.93465,2247.852012,14106.43466
0.003,2.9,1346,475.716,12643.41877,2289.578955,14457.28172
0.003,3,1281,468.72,12366.52766,2327.384289,14225.19195
0.003,3.1,1249,471.882,12443.76712,2362.136025,14334.02114
0.003,3.2,1219,475.392,12663.24677,2267.754286,14455.60906
0.003,3.3,1173,472.032,12464.78548,2336.662689,14329.41617
0.003,3.4,1165,482.868,12954.57471,2227.089666,14698.79638
0.003,3.5,1130,482.16,12795.96848,2338.288834,14652.09732
0.003,3.6,1115,489.24,12986.68224,2381.572322,14879.01457
0.003,3.7,1072,483.516,12713.58919,2463.661142,14693.73433
0.003,3.8,1040,481.992,12685.78953,2437.668055,14641.46559
0.003,3.9,1013,481.806,12557.93987,2527.849938,14603.98381
0.003,4,989,482.4,12835.88911,2312.619703,14666.10881
0.003,4.1,967,483.39,12821.76906,2357.001452,14695.38051
0.003,4.2,964,493.668,13138.8742,2371.797777,15017.00397
0.003,4.3,942,493.812,13066.36311,2442.886865,15015.43797
0.003,4.4,956,512.424,13669.07091,2439.71719,15596.3641
0.003,4.5,927,508.41,13309.10881,2628.213201,15428.91201
0.003,4.6,897,502.872,13449.7892,2366.526812,15313.44401
0.003,4.7,888,508.728,13680.90627,2338.122419,15510.30069
0.003,4.8,845,494.496,13230.50158,2322.579308,15058.58489
0.003,4.9,836,499.212,13308.02472,2403.90989,15212.72261
0.003,5,841,512.4,13561.17121,2553.881773,15602.65298
0.003,5.1,839,521.118,13857.24416,2535.521877,15871.64804
0.003,5.2,816,516.984,13703.98519,2512.649336,15699.65053
0.003,5.3,789,509.436,13655.64513,2366.611878,15512.82101
0.003,5.4,760,500.256,13531.47818,2211.28542,15242.5076
0.003,5.5,763,511.5,13986.53844,2159.115837,15634.15428
0.003,5.6,734,500.976,13553.33642,2239.002095,15291.36252
0.003,5.7,696,483.93,12958.66786,2239.773289,14714.51115
0.003,5.8,729,515.388,13753.58024,2433.614968,15671.80721
0.003,5.9,718,516.132,13832.98435,2397.105602,15713.95796
0.003,6,705,515.52,13856.55812,2375.919885,15716.95801
0.003,6.1,706,524.478,14086.16137,2436.418273,15998.10165
0.003,6.2,677,511.5,13754.13894,2352.062338,15594.70127
0.003,6.3,642,493.29,13189.90667,2305.298019,15001.91469
0.003,6.4,650,506.88,13515.10732,2406.4077,15414.63502
0.003,6.5,662,524.16,13981.90539,2509.393284,15967.13868
0.003,6.6,659,529.848,14135.41919,2547.840428,16153.41162
0.003,6.7,664,541.896,14519.03511,2540.895667,16518.03477
0.003,6.8,593,492.048,13108.74357,2350.945143,14967.64071
0.003,6.9,619,520.398,13957.53378,2432.369323,15869.50511
0.003,7,602,513.66,13683.94452,2463.354185,15633.6387
0.003,7.1,589,509.922,13748.25827,2287.154278,15525.49055
0.003,7.2,583,511.92,13852.84249,2250.028589,15590.95108
0.003,7.3,579,515.088,13946.2764,2255.367236,15686.55564
0.003,7.4,588,530.136,14373.97542,2336.3442,16180.18362
0.003,7.5,567,518.4,13969.86356,2343.79935,15795.26291
0.003,7.6,584,540.36,14614.25029,2423.045252,16496.93554
0.003,7.7,574,538.23,14356.24145,2557.779729,16375.79118
0.003,7.8,556,528.372,13943.54344,2617.608814,16032.78026
0.003,7.9,566,544.626,14500.97129,2627.054593,16583.39988
0.003,8,547,533.28,14232.70655,2530.121183,16229.54774
0.003,8.1,550,542.376,14705.98942,2397.765323,16561.37874
0.003,8.2,535,534.312,14375.51494,2424.946709,16266.14965
0.003,8.3,521,526.884,13991.64042,2538.055751,16002.81217
0.003,8.4,512,524.16,13928.50997,2510.75814,15915.10811
0.003,8.5,509,526.83,14057.05476,2514.723778,16044.94854
