a,b,n_p,num_liquidations,total_commission,short_profits,long_profits,total_profits,short_leftover,long_leftover,tax_total,tax_short_total,tax_long_total
0.008,0.008,0.005,167,208.710318864,11564.875188615884,4300.44946577709,15756.839674440975,13,0,1167.7831404475949,923.0003955321445,244.78274491545025
0.008,0.009000000000000001,0.005,155,202.37326484159985,11762.219516328549,4655.151592856173,16311.777064703721,12,0,1050.3202376052698,840.0307070259875,210.28953057928234
0.008,0.01,0.005,137,185.98943487719984,11370.086422675544,4117.639226052521,15390.060361880065,12,0,921.4936489474139,756.13571239654,165.35793655087397
0.008,0.011,0.005,133,179.48708713499988,10985.910501475846,4324.038816453522,15215.463404022568,11,0,818.5191244118791,732.8667636176116,85.65236079426757
0.009000000000000001,0.005,0.005,200,195.76508772299982,8672.778324992825,3252.687278709849,11835.628906171274,17,0,694.0386011487733,597.3685797653061,96.67002138346699
0.009000000000000001,0.006,0.005,174,190.1360241359999,8951.864324568985,3764.739538939802,12624.027020379986,15,0,844.5712658369146,688.8914539845485,155.67981185236584
0.009000000000000001,0.007,0.005,155,189.40318983899996,10295.07824255669,4032.044714965748,14231.249526716038,14,0,844.9153598570022,690.3191127232408,154.5962471337612
0.009000000000000001,0.008,0.005,143,188.27006962259998,10652.309820648588,4416.489546958924,14971.326182713912,13,0,996.5794302493196,808.8572920522013,187.72213819711862
0.009000000000000001,0.009000000000000001,0.005,125,177.15534815700002,10792.94852585809,4214.500695996866,14914.597269541355,12,0,1035.5325347547414,849.5225749465602,186.00995980818124
0.009000000000000001,0.01,0.005,112,165.66457847160007,10645.074009801505,4103.339462253338,14661.153657158042,11,0,984.7506128216866,819.4901497806885,165.26046304099833
0.009000000000000001,0.011,0.005,112,169.57333914900002,11392.489983735692,4176.563802070595,15479.501949335288,11,0,812.9368384930572,708.3059193705336,104.63091912252355
0.01,0.005,0.005,182,183.97313532000004,8197.813076084089,3303.693273808131,11420.28164236522,18,0,635.9719442313137,547.4832711083309,88.48867312298302
0.01,0.006,0.005,157,181.94961286080002,9252.037754029052,3794.9094144233222,12961.143255437173,16,0,687.0583839435914,546.8816143561181,140.1767695874732
0.01,0.007,0.005,135,169.46418443580006,9377.647299241093,3873.760116458054,13168.281827743347,13,0,678.4393349385808,535.900432733808,142.53890220477297
0.01,0.008,0.005,126,171.9161617931999,9994.2547399177,4419.905741939307,14326.819430531406,12,0,864.6740217783379,707.3721226609775,157.30189911736102
0.01,0.009000000000000001,0.005,113,168.49849298459995,11163.098062266896,4161.903320725997,15237.460015210094,11,0,967.2522825685701,797.028879114556,170.22340345401386
0.01,0.01,0.005,100,158.43210300599995,10479.089453013105,4412.33885485646,14807.877983785565,11,0,970.7379307506038,766.9276890928196,203.81024165778413
0.01,0.011,0.005,100,164.33260570619993,12045.664928960485,4383.428360983344,16342.682890620228,10,0,885.930809614491,736.4816808726974,149.44912874179346
0.011,0.005,0.005,163,175.30132560179996,7764.746302216795,3744.649634098069,11435.142645233864,18,0,523.5527844716597,446.04163839315567,77.51114607850411
0.011,0.006,0.005,138,163.13734975259993,8178.512153317249,3617.1595051439976,11720.712461032846,15,0,566.1699686605253,476.58190630995546,89.58806235056976
0.011,0.007,0.005,125,163.2408166236001,9256.804771182018,3994.070688168107,13172.713532718124,13,0,594.2145727800046,473.32115504594105,120.89341773406355
0.011,0.008,0.005,115,161.2085134536,9392.930765963138,4527.914626599041,13839.53266240358,12,0,737.1532008958408,592.4919606295655,144.66124026627563
0.011,0.009000000000000001,0.005,102,157.84287399719986,10603.642592438158,4458.363004174953,14980.860425440711,11,0,862.5319624820046,700.696147530233,161.83581495177174
0.011,0.01,0.005,95,156.835602543,10905.25781069669,4842.293895811115,15665.671020510206,10,0,894.2261512021935,697.6023060773842,196.62384512480935
0.011,0.011,0.005,82,143.3692524726,10115.790130530435,4609.684714246903,14649.47108951694,10,0,865.8976796814006,660.715641029057,205.18203865234364
