a,n,num_liquidations,total_commission,profit
0.014,2,359,93.48,12677.8122
0.014,2.2,325,84.84,11461.20947
0.014,2.4,305,79.44,10776.26372
0.014,2.6,285,74.28,10064.21071
0.014,2.8,263,68.64,9287.353736
0.014,3,250,97.92,13261.11746
0.014,3.2,235,91.8,12482.97229
0.014,3.4,222,86.76,11750.65923
0.014,3.6,215,84.06,11391.27803
0.014,3.8,206,80.28,10917.87848
0.014,4,192,100.08,13561.96082
0.014,4.2,184,96,13020.6747
0.014,4.4,178,92.88,12603.58054
0.014,4.6,164,85.92,11591.82133
0.014,4.8,161,84.24,11395.37528
0.014,5,154,100.5,13610.7091
0.014,5.2,154,100.2,13614.57202
0.014,5.4,149,96.9,13166.39758
0.014,5.6,138,90.3,12172.85583
0.014,5.8,137,89.4,12112.8964
0.014,6,133,104.4,14093.05906
0.014,6.2,129,101.16,13690.21071
0.014,6.4,125,97.92,13266.3695
0.014,6.6,125,97.2,13230.10936
0.014,6.8,116,90.72,12248.81029
0.014,7,114,104.16,14028.60474
0.014,7.2,117,106.26,14506.49698
0.014,7.4,114,103.74,14070.02154
0.014,7.6,112,102.06,13828.34698
0.014,7.8,106,96.6,13078.84882
