"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 04- 10","555.10","556.24","556.45","554.50","385.75K","0.52%"
"2014- 04- 09","552.22","556.73","556.75","552.17","415.12K","-0.33%"
"2014- 04- 08","554.07","553.47","555.02","549.89","372.97K","-0.03%"
"2014- 04- 07","554.23","557.58","559.10","553.67","384.35K","-1.11%"
"2014- 04- 04","560.44","559.14","560.52","558.05","382.41K","0.62%"
"2014- 04- 03","557.01","560.20","560.85","556.69","428.92K","-0.11%"
"2014- 04- 02","557.65","552.24","557.78","552.24","429.49K","1.56%"
"2014- 04- 01","549.08","544.51","549.08","544.06","330.25K","1.38%"
"2014- 03- 31","541.58","546.57","547.03","538.78","287.62K","-0.46%"
"2014- 03- 28","544.10","542.35","544.45","542.34","301.07K","0.49%"
"2014- 03- 27","541.46","544.32","544.62","540.01","315.85K","-0.49%"
"2014- 03- 26","544.13","541.65","544.13","540.94","376.34K","0.94%"
"2014- 03- 25","539.05","545.79","545.79","538.41","377.42K","-1.20%"
"2014- 03- 24","545.60","549.35","549.43","545.58","372.73K","-0.22%"
"2014- 03- 21","546.81","545.21","547.18","544.54","398.55K","0.93%"
"2014- 03- 20","541.79","541.40","542.29","539.15","369.12K","-0.08%"
"2014- 03- 19","542.25","544.55","545.17","539.88","364.06K","0.20%"
"2014- 03- 18","541.15","540.03","541.43","539.12","381.92K","0.99%"
"2014- 03- 17","535.82","545.36","546.31","535.54","373.69K","-1.55%"
"2014- 03- 14","544.27","542.87","546.51","542.42","406.01K","-0.59%"
"2014- 03- 13","547.51","542.20","547.52","539.80","446.41K","1.52%"
"2014- 03- 12","539.30","548.12","548.19","538.79","421.13K","-1.53%"
"2014- 03- 11","547.68","544.85","547.69","544.85","332.09K","1.01%"
"2014- 03- 10","542.19","545.63","545.74","541.85","314.73K","-0.29%"
"2014- 03- 07","543.76","542.54","544.08","542.54","330.79K","0.63%"
"2014- 03- 06","540.33","538.29","540.40","537.98","333.65K","0.66%"
"2014- 03- 05","536.77","535.74","536.99","534.59","309.50K","0.98%"
"2014- 03- 04","531.54","528.18","532.56","528.00","288.13K","0.32%"
"2014- 03- 03","529.86","529.23","530.62","526.27","310.00K","0.17%"
"2014- 02- 28","528.96","529.86","529.97","527.51","317.97K","0.11%"
"2014- 02- 27","528.37","530.50","531.15","528.02","342.02K","-0.16%"
"2014- 02- 26","529.23","529.59","529.79","528.01","350.39K","0.12%"
"2014- 02- 25","528.61","529.28","529.37","527.65","300.49K","0.43%"
"2014- 02- 24","526.34","530.38","530.98","526.34","300.68K","-0.41%"
"2014- 02- 21","528.51","528.48","528.80","527.15","281.06K","0.54%"
"2014- 02- 20","525.69","530.28","530.35","525.68","319.02K","-0.79%"
"2014- 02- 19","529.87","527.33","529.91","526.12","302.65K","0.85%"
"2014- 02- 18","525.42","523.79","525.63","523.17","317.03K","0.66%"
"2014- 02- 17","522.00","524.25","524.37","521.05","312.97K","-0.11%"
"2014- 02- 14","522.58","523.90","524.71","522.35","304.30K","0.15%"
"2014- 02- 13","521.82","521.79","522.47","520.26","335.85K","0.23%"
"2014- 02- 12","520.64","522.28","522.28","519.96","363.29K","0.34%"
"2014- 02- 11","518.90","520.12","520.51","517.68","334.36K","0.08%"
"2014- 02- 10","518.47","517.45","518.48","516.63","309.04K","0.78%"
"2014- 02- 07","514.45","513.84","514.87","512.72","317.54K","0.90%"
"2014- 02- 06","509.87","507.52","510.65","507.52","570.17K","0.84%"
"2014- 02- 05","505.62","511.12","511.89","505.62","448.62K","-0.38%"
"2014- 02- 04","507.56","506.64","507.97","505.12","451.90K","-1.18%"
"2014- 02- 03","513.62","513.03","515.45","511.19","421.81K","-0.31%"
"2014- 01- 29","515.20","512.13","515.25","512.13","389.47K","1.16%"
"2014- 01- 28","509.29","508.58","509.71","502.84","453.64K","0.35%"
"2014- 01- 27","507.51","509.12","511.38","507.48","517.00K","-2.46%"
"2014- 01- 24","520.31","522.25","524.00","516.19","356.08K","-0.46%"
"2014- 01- 23","522.72","524.91","526.82","522.72","447.49K","-0.07%"
"2014- 01- 22","523.07","522.61","523.48","521.29","428.56K","0.40%"
"2014- 01- 21","520.99","521.26","521.49","519.66","426.38K","0.19%"
"2014- 01- 20","519.99","519.38","520.55","516.92","357.63K","0.36%"
"2014- 01- 17","518.10","519.00","519.15","515.44","389.35K","0.05%"
"2014- 01- 16","517.83","518.50","518.93","517.38","404.47K","0.36%"
"2014- 01- 15","515.97","515.56","516.28","514.12","414.46K","0.72%"
"2014- 01- 14","512.27","511.48","514.75","511.41","410.68K","-0.13%"
"2014- 01- 13","512.92","511.59","513.76","511.59","375.91K","0.54%"
"2014- 01- 10","510.19","513.68","513.89","507.11","399.61K","-0.28%"
"2014- 01- 09","511.60","511.00","512.30","510.54","363.96K","0.36%"
"2014- 01- 08","509.78","507.55","510.60","506.41","368.75K","0.97%"
"2014- 01- 07","504.86","500.42","505.02","500.42","332.45K","0.85%"
"2014- 01- 06","500.62","500.86","501.29","498.73","288.71K","0.26%"
"2014- 01- 03","499.33","496.67","499.33","493.79","295.10K","0.61%"
"2014- 01- 02","496.28","502.41","502.87","496.06","264.27K","-0.74%"
"2013- 12- 31","499.99","498.41","500.05","497.54","234.61K","0.00%"
"2013- 12- 30","499.99","498.41","500.05","497.54","234.61K","0.65%"
"2013- 12- 27","496.77","490.02","496.80","489.53","262.32K","1.62%"
"2013- 12- 26","488.87","492.93","493.01","488.86","276.93K","-0.45%"
"2013- 12- 24","491.08","491.53","491.87","490.10","267.96K","0.30%"
